geography,year,person_months
Missing,2009,33605567.95006
Missing,2010,38679243.46995
Missing,2011,52680951.76316
Missing,2012,71291611.58345
Missing,2013,97411369.73751
Missing,2014,182164466.86946
Missing,2015,259432374.06590998
Missing,2016,402231241.29301006
Missing,2017,481902993.5883301
Missing,2018,774102494.2654198
Missing,2019,756023761.4635099
Other Countries,2009,12929019.8243
Other Countries,2010,15707293.045260001
Other Countries,2011,25895202.85264
Other Countries,2012,35537431.74224
Other Countries,2013,60395236.21588
Other Countries,2014,146868765.46582
Other Countries,2015,165250190.54609
Other Countries,2016,261000697.53707
Other Countries,2017,333896865.61004
Other Countries,2018,478772883.83474
Other Countries,2019,610480363.9839
United States,2009,6470098.97293
United States,2010,6178401.1308
United States,2011,13073771.70191
United States,2012,19338078.30909
United States,2013,34325812.33717
United States,2014,47183007.69552
United States,2015,91373836.99520999
United States,2016,131192880.99334
United States,2017,183701592.71482
United States,2018,227154673.90993
United States,2019,261958198.03250998
